1, 59.86859893798828
2, 56.77650833129883
3, 55.10573959350586
4, 53.860347747802734
5, 52.742437998453774
6, 51.60267766316732
7, 50.43634033203125
8, 49.15716425577799
9, 47.82963307698568
10, 46.36904652913412
1, 58.35664749145508
2, 55.964656829833984
3, 54.58357238769531
4, 53.5513547261556
5, 52.522141774495445
6, 51.4378662109375
7, 50.336395263671875
8, 49.092543284098305
9, 47.798013051350914
10, 46.513832092285156
1, 60.474901835123696
2, 57.423074086507164
3, 55.409423828125
4, 53.80148061116537
5, 52.32091776529948
6, 50.81419372558594
7, 49.23702621459961
8, 47.460750579833984
9, 45.41062672932943
10, 43.23373794555664
11, 41.497056325276695
12, 39.651859283447266
13, 37.868202209472656
14, 36.28164545694987
15, 34.775390625
16, 33.52576192220052
17, 32.2723642985026
18, 31.177696863810223
19, 30.476259231567383
20, 29.682255427042644
21, 28.95459810892741
22, 28.21973482767741
23, 27.61492665608724
24, 26.991579055786133
25, 26.366669336954754
26, 25.686124801635742
27, 25.16125742594401
28, 24.593264897664387
29, 24.148942311604817
30, 23.40901756286621
31, 22.878089269002277
32, 22.437658945719402
33, 21.888696670532227
34, 21.41659990946452
35, 21.01211929321289
36, 20.65073521931966
37, 20.277936299641926
38, 19.91145896911621
39, 19.623977661132812
40, 19.221895217895508
41, 19.007596333821613
42, 18.638120651245117
43, 18.5052547454834
44, 18.0805721282959
45, 17.96548589070638
46, 17.7471440633138
47, 17.398169199625652
48, 17.283004760742188
49, 16.92399501800537
50, 16.669308026631672
51, 16.442577679951984
52, 16.244444529215496
53, 16.218640963236492
54, 16.06891632080078
55, 15.896587053934732
56, 15.647541681925455
57, 15.628490447998047
58, 15.692427635192871
59, 15.121363957722982
60, 14.979061126708984
61, 14.578785260518393
62, 14.52116839090983
63, 14.54809824625651
64, 14.390693346659342
65, 14.206682205200195
66, 13.983314832051596
67, 13.856893539428711
68, 13.666743914286295
69, 13.634536743164062
70, 13.50569216410319
71, 13.379247029622396
72, 13.261070569356283
73, 13.16214688618978
74, 13.152828852335611
75, 12.979087829589844
76, 12.903923034667969
77, 12.866791089375814
78, 12.712310155232748
79, 12.742488225301107
80, 12.732545534769693
81, 12.69311555226644
82, 12.510774612426758
83, 12.418188412984213
84, 12.267068227132162
85, 12.224150975545248
86, 12.246869087219238
87, 12.213183403015137
88, 12.050891558329264
89, 11.94929281870524
90, 12.033621152242025
91, 12.155529975891113
92, 12.39134693145752
93, 11.896922747294107
94, 12.01698080698649
95, 11.801059405008951
96, 11.65921401977539
97, 11.499136288960775
98, 11.38391399383545
99, 11.200849850972494
100, 11.289520899454752
